question_id,question,correct_answer
1,車が曲がるときに生じる内輪差や車の死角などは、車を運転しない者も知っておくとよい。,True
2,ＡＢＳ装置は、タイヤのロックを防ぐことにより、方向安定性などを確保しようとするものであるので、空走距離に大きく関係する。,False
3,幼児などが乗り降りするために止まっている通学、通園バスのそばを通るときは、徐行するが、安全を確かめることが済んでいればその必要はない。,False
4,路線バスが方向指示器で発進の合図をしているときは、後方の車は急ブレーキや急ハンドルで避けなければならない場合を除いて、その発進を妨げてはならない。,True
5,自動車を運転していて、止まっている自動車のそばを通るときは、車の陰から人が飛び出してきたり、急にドアがあくことがあるので、注意しなければならない。,True
6,交通事故や故障で困っている人を見かけたときは、連絡や救護などお互いに協力しあうことが大切である。,True
7,道路で自動車の運転練習をするときは、仮運転免許証のコピーを携帯していれば運転者を確認することができるので、仮運転免許証を携帯しなくてもよい。,False
8,普通仮運転免許を受けていれば、原動機付自転車を運転することができる。,False
9,ドアをしめるときは、力を入れて一気にしめるとよい。,False
10,ＭＴ車は、上り坂で発進するときは、ハンドブレーキを使わずにクラッチ操作だけで発進するのがよい。,False
11,標識や標示で最高速度が指定されている道路でも、追い越しをするときは、その最高速度を超えてもよい。,False
12,時速40キロメートルで進行中、白や黄色の杖を持った人や高齢者が歩いているそばを通るときに、時速20キロメートルに減速して通過した。,False
13,アンチロックブレーキシステムを備えた自動車は、空走距離はなく制動距離のみで停止することができる。,False
14,エンジンが始動した状態のオートマッチック車（四輪車）は、チェンジレバーをＤにしただけでは、走りだすことはない。,False
15,停止中の路面電車の側方を通るときは、人がいなくて1.5ｍ以上の間隔がとれれば徐行して通行することができる。,True
16,大型特殊免許では、普通自動車を運転することができない。,True
17,路面が雨にぬれているときや凍結しているときは、停止距離が長くなるので、通常、雨のときは乾燥路面の1.5倍、凍結路面では3倍以上の車間距離が必要とされている。,True
18,車の運転者は、ひとり歩きの子供や白色か黄色の杖を持って歩いている人や盲導犬を連れて歩いている人がいる場合は、安全な間隔をあけるか徐行して、これらの人が安全に通行できるようにしなければならない。,False
19,上り坂の頂上付近や勾配の急な下り坂は、徐行しなければならない。,True
20,対向車と行き違うときは、障害物のある反対側の車が、あらかじめ一時停止したり減速して道路をゆずるようにする。,False
21,車が後退するときの合図の時期は、後退しようとするときの約3秒前である。,False
22,アンチロックブレーキシステムを備えた自動車で急ブレーキをかける場合は、システムを作動させるため、一気にブレーキを強く踏み込み、そのまま踏み込み続けることが必要である。,True
23,坂道で近くに待避所があったとしても、下りの車が上りの車に道を譲るのが、運転者としてのマナーである。,False
24,歩行者の側を通行するときは、歩行者との間に安全な間隔をあけるか、徐行しなければならないが、歩行者が路側帯にいる時はその必要がない。,False
25,止まっている車の側を通る時、その車に人が乗っていないかなどを注意する必要はない。,False
26,自動車の運転者はもちろん、歩行者や自転車に乗る人も、自動車の死角、内輪差など自動車の特性をよく知ることが大切である。,True
27,同一方向に二つの車両通行帯がある時は、左側の車両通行帯を通行しなければならない。,True
28,交通整理の行われている交差点を右左折する時も徐行しなければならない。,True
29,警察署や消防署などの前に停止禁止部分の標示がされていても、それは緊急時の標示であるから、緊急時以外であれば、標示部分に入って停止してもかまわない。,False
30,自動車に乗ってからドアを閉める時は、強く力を入れて一気に閉めるとよい。,False
31,路線バスなどが方向指示器などで発進の合図をしている時でも、まだ発進する前であれば、後方の車はバスなどの前方に出てもよい。,False
32,運転者は、同乗者が車から乗り降りする際、ドアの開け閉めまで注意をする必要はない。,False
33,オートマチック車で、エンジン始動直後やエアコン作動時は、エンジンの回転数が低くなっているので、アクセルペダルを強く踏むようにする。,False
34,普通免許で小型特殊自動車の運転ができる。,True
35,車両通行帯のある道路で、標識や標示によって進行方向ごとに通行区分が指定されている時は、緊急自動車の接近などやむを得ない時以外は、指定された区分に従って通行しなければならない。,True
36,オートマチック車で上り坂に駐車する時は、チェンジレバーをL、又は１に入れておいた方がよい。,False
37,信号待ちで停止中、急用を思い出したので携帯電話を手に持って使用していたが、対面する信号が青になったので、そのまま話をしながら発進した。,False
